,negReviews,posReview,review_date,review_rating
0,"When I find out, I will update you. So far not one! Honestly, everyday is exciting and enjoyable. I plan on being here for a while.",I started in November and it has been an amazing experience each day. I wake up #Workhappy to go in. I am proud of what I do and my environment is positive and motivational each day.,,5.0
1,No cons at this point!,Beautiful building and great culture here at ADP!," Sep 19, 2018",5.0
2,Pay is not too great or competitiveIf you have a bad manager it can make you have a bad experience,"Will hire anyone out of collegeHas great training and onboarding processThe people and culture is great, can vary depending on your managerTrips and incentives are awesome"," Sep 19, 2018",4.0
3,Big company means slow moving and a measured career advancement. No quick leaps and bounds here.,"Secure, stable company who appreciates dedication"," Sep 17, 2018",5.0
4,There are no cons for ADP,Great People! System will allow you to make as much as you want...," Sep 18, 2018",5.0
5,Management is actively moving senior employees out.,"Competitive salaries, good products, great training."," Sep 18, 2018",5.0
6,Job can be very stressful at certain times.,"There are many great people that work there. Salary is in line with the job, job can be stressful at certain times of the year."," Sep 17, 2018",4.0
7,Always behind the curve with their technology,Excellent work environment and community involvement," Sep 18, 2018",4.0
8,Long hours and many organizational changes,"Close knit environment, lots of continuous learning"," Sep 15, 2018",4.0
9,Less innovative at work place,Less stress at work place," Sep 13, 2018",4.0
10,"shifting organization, potential for job elimination","great pay, excellent benefits, awesome training"," Sep 14, 2018",4.0
11,"A very scattered group, still trying to piece themselves together to become more like One company",Its nice being the best provider in the market. The name can speak for itself and sell itself on some occasions," Sep 12, 2018",4.0
12,Locating our Accounting Department to El Paso.,There are a lot of opportunities to advance if you are willing to learn.," Sep 12, 2018",4.0
13,"Depending upon the team, you have to work for more than 8 hours a day - but with the right leadership around, you will not mind putting the extra hours.",Working with smart people is what you expect at ADP.," Sep 13, 2018",4.0
14,No cons with this company!,Great environment and good ethics!," Sep 11, 2018",5.0
15,Hard to advance and make a difference since it is such a large company,"Great Benefits, fantastic training, fun environment, over all great starting job"," Sep 11, 2018",4.0
16,Pay and unclear on how long program will last.,Great team and helpful management.," Sep 12, 2018",4.0
17,"Pay could be better, but its not that bad","Very diverse culture, many organizations within the company you can join, very helpful in helping you achieve your career goals"," Sep 11, 2018",5.0
18,"Stressfull, lots of layers, some amount of passing the buck internally","Lots of training, pays well, good work life balance"," Sep 11, 2018",4.0
19,"Long hours during busy season, over booked with clients from sales","Flexible schedule, individual responsibility and freedom to problem solve and collaborate"," Sep 9, 2018",5.0
20,The company no longer cares for their employees as they once did. In some departments the hours are long and expected to work on weekends. Those that are exempt put in long days and weekends. Automation takes a long time to implement and doesn't always work as expected. There is a lot of manual processes just to sustain. Not enough people doing the work. Training is also a big issue as some areas still train by shadowing with no formal training.,"The pay is good if you are non-exempt.Depending on the department, schedules could be flexible. The benefits are good. Most people are great to work with."," Sep 4, 2018",3.0
21,"Decentralized business, silos silos silos, not sure of future of product, same people in the same jobs and lack of ability to disrupt; slow to move!!!!! No agility or good thoughts. Locations (ADP gets tax incentives for being is horrible locations nowhere near the talent they need); moving towards “in office” policy; HR’s inability to manage harassment and lack of concern about more serious issues in their business. Systems and technology - a total lack of integration!!!!!! Buys companies to bandaid problems with product.","Benefits, stock if you qualify; people - lots of smart ones who likely feel stuck!"," Sep 12, 2018",2.0
22,To be honest - none!,I have never worked at a company where in which associates feel like family!," Sep 7, 2018",5.0
23,"Lower pay than industry standard, constant changes in direction and expectations",Supportive peers and leaders ship," Sep 7, 2018",5.0
24,"Can be stressful , very stressful at times .",The people are great and I’ve made lots of great friends.," Sep 7, 2018",4.0
25,"no major cons, great place to work as long as you have a similar style as your manager.","career options are endless, positive environment"," Sep 7, 2018",4.0
26,Can compensate their mid level managers better,Awesome and forward thinking company to work for.," Sep 5, 2018",5.0
27,Not much that I can think of.,"Great building, good people, great benefits. Growth potential"," Sep 5, 2018",5.0
28,Huge company with lots of red tape.,Huge company with lots of benefits and resources.," Sep 6, 2018",4.0
29,Known to overstaff and some industry info provided is inaccurate,Great work culture and room to succeed," Sep 6, 2018",4.0
30,can get really busy during the shift,good money and flex schedule," Sep 6, 2018",4.0
31,Recent reductions in workforce have created an issue with work/life balance,Well established company with growth potential," Sep 3, 2018",4.0
32,LayoffsBenefits package could be betterManagers need more product knowledge to better support their team,Ability to work from homeSalary decent," Sep 19, 2018",3.0
