,negReviews,posReview,review_date,review_rating
0,"No cons, so far - seriously. Like I said, I'm sure Amazon has some bad pockets in it here and there, but this is an amazing job, an amazing opportunity, and the biggest thing I have to complain about is that it's a little chilly in our building. I can live with that.Does Amazon demand high quality, measurable results? Yes! Is it hard work? Yes! Is it rewarding? Yes! So I'm not calling that a 'con'. Work/life balance seems comparable to other places I've worked - not worse.","I've been at Amazon for a month now, and I've seen none of the horror stories being communicated to the public, although Amazon is a large enough company that I'm sure there are good pockets and bad pockets. Everyone here is really smart, and wants to succeed both personally, and as a company. People collaborate and help each other, focus on data, and truly focus on the customer. Every company I've ever worked for talks about how important the customer is, but on day 2, they're forgotten. Amazon seems to genuinely focus on what's best for the customer, and it's awesome to be in meetings where people actually bring that up, and make decisions focused on long-term customer satisfaction.The opportunities to learn here are literally unlimited, and the opportunity to take on new responsibility is as well. I honestly believe you can be as awesome as you want here.",,5.0
1,The flow of information can be overwhelming. There are so many services and they go so deep. There are often key roles missing because of our high hiring bar and the economics of the job market.,"I've been at AWS for about six years all in Sales. In that time I've received promotions, chances to change roles, and it's never been boring. I've kept to working 40 hours per week and use up all my vacation. It's a high growth company and management supports movement across departments. There's an intensity here that I think comes from a high bar from hiring. However, I haven't felt the pressure from the executive team to deviate from the work/life balance I want to protect."," Sep 4, 2018",5.0
2,"You have to be self motivated. NO ONE will hold your hand and tell you that you're doing a great job. If you need constant affirmations from management, this company isn't for you.","Really smart people, a lot of opportunity for growth, always encouraged to be innovative, think big, and create something new. Competitive salary and benefits with other major tech companies. 100% self motivating work environment. No dress code and 4 legged friends are welcome."," Jan 10, 2016",5.0
3,"The management process is abusive, and I'm currently a manager. I've seen too much ""behind the wall"" and hate how our individual performers can be treated. You are forced to ride people and stack rank employees...I've been forced to give good employees bad overall ratings because of politics and stack ranking.","Jeff Bezos and his ""S-Team"" are brilliant and continue to make great decisions for long-term growth.You work with smart people, you work on exciting projects, you are pushed to your limits...which can be rewarding when you accomplish great things. The diversity of the potential work and innovation can be very alluring. I've often called Amazon my ""Sexy Mistress...she's emotionally abusive, but she's so sexy that I go back for more punishment."""," Feb 20, 2016",3.0
4,"- You're responsible for your own career progression and finding the places and teams that are doing the stuff you want to do. No one is going to take you by the hand and help you with that.- Amazon is built, quite deliberately, to be Darwinian. The strong survive and the weak perish (metaphorically speaking) and the 'bar' is constantly increasing. The level of performance that would have been acceptable five years ago will get you canned today. It's a kind of crucible that'll help you develop a harder edge, if you can survive, that can serve you well in your career and in life, but it's often not a pleasant experience.I wouldn't recommend it as a place to work for just anyone.","Amazon is doing lot's of cool stuff...but lots of boring stuff too. There are really well run teams...and very badly run teams. The experience for software managers and engineers is all over the board, from really run low operational load teams to teams where people burn out after a year. - Amazon is built, quite deliberately, to be Darwinian. You can generally expect that anyone who's been here for more than 2 years is competent and motivated or they wouldn't have survived. You can count on them as long as your priorities are aligned. There aren't many slackers here, and they don't survive long.  - We work on so much stuff that there's always an opportunity to find amazing cool stuff to work on (note that it's an 'opportunity', one that you have to pursue)  - A chance to make a huge difference  - A place where you can learn a lot about all kinds of things, both technical and about yourself  - Amazon encourages high mobility - even your manager can't prevent you from moving to another team within 6 weeks (normally, more than a few months under unusual conditions).  - Your friends and family have actually heard of the place you work and have at least a vague notion of what Amazon does without you having to explain"," Dec 17, 2013",4.0
5,"Maybe because the company recruits C listers who have neither merit (intelligence, strategic vision) nor pedigree (academic or professional accomplishments), most of those who become successful do so in treacherous, low cunning ways.Imagine the Lannisters in Game of Thrones attacking the Starks in Game of Thrones; or Rawls and Burrell attacking McNulty and Daniels in The Wire; or Barrow and O'Brien attacking Mr Bates in Downton Abbey. This is every day leadership behavior at Amazon. The culture at Amazon is so infested with these middling talent weasels who have juked the stats and schemed their way to positions of power that new employees coming in actually start thinking that this behavior is normal and expected if you want to ""manage people.""The work itself was stimulating and fulfilling, but the sneering condescension of the d bags that cheated and skated their way through high school and party colleges, then just converted their winky nod nod good 'ol boy shenanigans into a ""ask no questions, have no introspection"" company culture have made manifest some of the worst criticisms of capitalism. Any left leaning political aspirant would look at this business organism and immediately have content to lash out against the corruption that can come in free enterprise where hard work is not rewarded, and the connected, incestuous, privileged class lounge their way to wealth while treating their employees and customers like some kind of filth their shoe picked up on the street.",This company gets A list performance from C list employees. The culture is quick and hard charging. You are always working in relevant and meaningful projects.," Mar 23, 2017",4.0
6,"After 3 years of working with the company you ""cap out"" at $15.75, meaning you can no longer make any more money than that as a tier 1 associate. Your expected to want to move up in the company and that is the only way to make a better hourly wage, by advancing into management and operations management positions if there are any openings.","Great starting pay and the ability to get raises very quickly. Full training in all areas are offered and if your willing to work hard and sweat everyday for 10 hours a day, 4 days a week, then this is the job for you. The 4 day weeks go by quick, it can be exhausting so proper rest and a healthy lifestyle will help you stay strong within this company. Beat benefits as well once you are a hired on as a full time employee."," May 15, 2017",4.0
7,"- frugality is taken to the extreme, only 2 weeks vacation, parking takes a year or more to get, zero perks (not even free Prime), no fitness allowance, poor 401k- your peers will stab you in the back, your manager will blame you for their errors, you can't trust anyone- people who throw others under the bus and take credit for other people's work get promoted- expectations 60 -70 hours a week, some teams expect Sunday to be an ""in the office day"", headcount never gets filled, teams are always short a few people but the work keeps piling on.","- super smart people, the best of the best from schools- if you get hired here, you will be hirable anywhere, recruiting process is tough- the pay is above average, probably 1.5 times elsewhere (but the expected results are 150% of elsewhere too)- lots of opportunities to work on new, innovative projects- cool SLU campus, lots of options for food and drinks after work"," Mar 29, 2017",4.0
8,The breaks are short but you'll get the hang of it.,The moneyThe benefitsPretty safeFast paced," Sep 12, 2018",5.0
9,It is a big company but still a part of a team.,Great team and awesome benefits. A lot of ambiguity and fast paced environment.," Sep 18, 2018",5.0
