,negReviews,posReview,review_date,review_rating
0,Depends who you work for honestly.,Amazing place with massive benefits always supportive when it comes to growth as well as diversity.," Jul 13, 2018",5.0
1,None really - great place to work,Working environment and role itself," Sep 19, 2018",5.0
2,"Office is downsizing, not a lot of room for growth.","Good people, feels well paid compared to other places in the area, great benefits - family leave, PTO, etc."," Sep 19, 2018",4.0
3,Too much number crunching in assessment of job performance. Quantity not quality rewarded,"Good salary, opportunities for developing your skills"," Sep 18, 2018",4.0
4,Little work life family balance,Great benefits love it there," Sep 17, 2018",5.0
5,only hired on a full time basis,"Great management, and benefits"," Sep 15, 2018",5.0
6,They don't like too much cultural diversity (I don't mean race as much as beliefs).,Good work culture. You are treated like a human being with respect and some care. The pay is fair and the benefits are good. Decent work-life balance.," Sep 16, 2018",4.0
7,"The company was a slow moving ship back then, getting things done was far more effort than it needed to be.","Great people, package, benefits, locations. You will learn and learn and learn in this environment."," Sep 14, 2018",5.0
8,"Lots of internal politics to navigate. Difficult to get promoted. Culture built on networking, rather than merit/work effort, which means leaders often play favorites.",Amazing maternity leave policy. Good work/life balance.," Sep 14, 2018",4.0
9,Processes can be cumbersomeLimited opportunities to work virtually in some business units,Great opportunities for developmentStrong corporate culture," Sep 12, 2018",4.0
10,environment the building is old,"The company has good coworkers, and space to have fun"," Sep 12, 2018",4.0
11,Can't think of any on this.,Very flexible working hour and good work from home policy," Sep 10, 2018",5.0
12,"Once you get to a leadership role the rapid development and progress halts. There is a very strict type of person that gets to go much further then Director or VP level at AXP. The CIO and EVP are hand-in-hand the organization setters and is their way or the highway. There has been lots of attrition since these two joined the company and they have been 'cleaning house'. Most leaders can't stand them, some respect them, some 'respect' them out of fear as they wait for their options to vest. There has been a massive talent drain from AXP in the past few years and many that have left have been much more successful at other companies. I have seen Directors go to SVPs at other banks in just a few years. That is a signal of how much talent suppression goes on at AXP and many realize to get promoted or to succeed they need to leave.","There is a lot of under mgt growth available at AXP. As a technical person you can do great things, learn new technologies, get real hands on practical experience. This is a great place to groom your skills, grow your wings, and learn what you want in your career. AXP is always looking for fresh talent to fill roles in the private cloud space and in sourcing support."," Sep 3, 2018",4.0
13,"Potentially allow more flexibility to go full time. Not really a con, but that’s all I can think off","I am very pleased with my position, upon hire I was able to choose a schedule that fit my family. I have the ability to pick up hours or drop hours for added flexibility. My manger and coach are both awesome. I love the contests and games and opportunity to make more money based on sales"," Sep 8, 2018",5.0
14,"You are one of 50,000. Basically, you don’t matter.","Good pay, benefits and time off"," Sep 8, 2018",4.0
15,No cons at all all positive,Learning opportunities are great for new staff.," Sep 7, 2018",5.0
16,no specific cons for me,very good work life balance," Sep 6, 2018",5.0
17,Schedule changes yearly...... Shift Bids.,"Good pay, Great location and Friendly Environment."," Sep 5, 2018",4.0
18,average full-time salary and benefits,"good learning environment, great people, interesting projects"," Sep 2, 2018",4.0
19,"Too many changes, can leave employees in a confused state a lotCommunication from senior leadership takes time to trickle down",Employee friendlyFlexibility to move around the company to various departmentsLots of opportunity for growthLots of avenues for educating yourself with what is new," Sep 16, 2018",3.0
20,Changes to business structure and merging with other management companies.,Ongoing education. Great clients. Ability to work virtually.," Aug 27, 2018",4.0
21,Culture is overly accomodating and can be difficult to find a perfect fit without compromising a little. A lot of management turnover.,Very accommodating culture. Career advancement can be found at any level and at any pace. Compensation competitive. Very modern infrastructure.," Sep 1, 2018",4.0
22,The booking tool Encore that has been implemented is AWFUL. Constantly on the phone with card members using tools that don't work. Metrics to bonus are unobtainable due to inaccurate RTF surveys and systems constantly not working . Salary seems ok when hired until you realize ALL the job entails. Health benefits are awful for such a large company.,"A lot of time off, 401k match up to 6%, nice co workers."," Sep 13, 2018",2.0
23,No work life balance. No flexible timings,Good package compared to other IT companies in USA," Aug 31, 2018",4.0
24,Salaries are absolutely lagging behind market average,The people and culture is the best thing about American Express. It's a friendly environment that encourages work life balance.," Aug 31, 2018",4.0
25,Just another number sitting providing customer service and offering (sales) to cardmembers - not valued as a CCP.. even if meeting metrics..,Benefits- PTO/Sick/401K/Medical/Dental/Vision/Legal/Corporate Discounts and many more..," Sep 11, 2018",3.0
26,Within American Express Growth is slow,American Express is People centric organization," Aug 28, 2018",5.0
