,negReviews,posReview,review_date,review_rating
0,"Highmark is going through a large transformation - and with a large transformation, comes significant change. It can be difficult to continually challenge the norm and status quo and best for those that like a challenge.","I have been with Highmark for almost 10 years and hope to spend 10+ more. I came as an individual contributor and have continued to grow in span and scope of control every 12-18 months. I am continually impressed by how smart, driven, and supportive my colleagues are. One of the things I particularly appreciate is the number of women leaders in senior positions and have created real personal friendships with my colleagues outside of work."," Sep 12, 2018",5.0
1,Long hours sometimes needed due to intense capacity needed for the project and not enough staff,"Great people, relaxed work environment, very friendly."," Sep 18, 2018",4.0
2,I have no specific cons to document.,Good opportunities to increase knowledge base via training classes that many positions allow you to take as part of your job. Good teamwork environment in many departments.," Sep 9, 2018",5.0
3,Prepare to be micromanaged. Negative reinforcement and downplaying your performance seems to be the management strategy to improve staff performance.,Pay is fairly high. Office facilities are nice if you’re in town and not WFH.," Sep 6, 2018",3.0
4,lots of change that can at times be tough to keep up with.,Focused on the customer and simplifying healthcare," Sep 6, 2018",5.0
5,Structure is too top heavy and too much power and deference is given to upper management. There is no pushback to leaders.,"Good benefits, flexibility, company is open to trying new things"," Aug 30, 2018",3.0
6,Awful Management and leadership.,Great 401k and legacy pension plan. The coworkers are amazing," Aug 28, 2018",2.0
7,"Long hours, slow to change and adapt",Good pay and benefits including bonuses," Aug 10, 2018",4.0
8,Terrible management. Overbearing and unorganized. Highmark health os run so poorly its stunning it still in existance. Have 5 postings for jobs yet no internal candidates because ppl want nothing to do with it.,Nice coworkers and central location," Sep 15, 2018",1.0
9,Over working employeesManagement plays favoritesPTO and sick time are the sameDo not value employee strengths,Co-WorkersLocationThere is no other pros of working here," Aug 6, 2018",2.0
10,"Employees do not feel valued...we used to have employee appreciation days and gift cards for getting commendations from customers, now we have an emailed certificate.Some managers play favorites. Big time. If you want to do ANY of the occasional special projects and non-phone activities, better hope you buttered the right bread.Shift bidding is arbitrary. It's allegedly based on performance reviews, but this is a wibbly-wobbly proposition and can result in changed shifts every three months and zero recourse.New programs being put in place and weighted heavily in your performance reviews.Command center/scheduling dropping you arbitrarily into other lines of business with little notice and really not caring if you're trained to do it or not.",Coworkers are greatDecent salaryOkay hoursDecent benefits," Jul 22, 2018",3.0
11,Attitude of applying Band-Aids without addressing the root of the issue,Company is looking to improve on current infrastructure," Jul 8, 2018",4.0
12,Depending on your department you can have crazy deadlines and have to work evenings and/or weekends.,"Great fringe benefits, excellent Personal Time, Health Insurance, and 401(k) matching."," Jun 24, 2018",3.0
13,"On call hours are tough, raises are bad and the raise system is even worse","Decent starting salaries for some positions, very generous PTO"," Jun 21, 2018",4.0
14,Disconnected management. Those managers who are actually competent end up being shuffled around until they leave. It's a fan club from Manager level on up.,"Great benefits, great co-workers, downtown location is great to work at."," Jun 11, 2018",2.0
15,Lack of ability to create a team environment due to multiple locations and company not willing to promote getting together,Changing business model to consistently succeed in a challenging environment," May 15, 2018",4.0
16,Promotions are few and far between.Compensation not up to par in the industry.Non- Salary employees will never receive a bonus of any kind.Upper management will not compensate according to your worth.,"Large Company, room for growth if your an intelligent individual.Heavy Footprint in Pennsylvania.Largest Health insurance Company in Pennsylvania."," Apr 25, 2018",3.0
17,Long hours during open enrollment in the fall. Management sometimes not as responsive to reps needs in field and could have been more supportive.,Good health benefits and flexible hours. Good training program. Had a great fitness center and programs when I worked there. And an on site heath clinic that was convenient. There was even a coffee shop! Management was fairly competent and open to suggestions," Mar 29, 2018",4.0
18,"Corporate process issues, no formal training for new hires or those who transition roles. Lots of double work due to old technology systems and integration limitations.",Benefits and professional coworkers. Schedule flexibility depending on role. Travel and professional development is company paid.," Mar 13, 2018",4.0
19,"bad management, polices and procedures aren't followed","Nice building, nice people, gym access, up to date computer systems"," Mar 6, 2018",4.0
20,A lot of priorities and high work load,"Great team of people, strong positive culture and vision for the future"," Mar 8, 2018",5.0
21,1. Cost of Parking2. Unable to build relationships with management as they are generally at a different site.,1. Great Benefits2. Employee Resource Groups3. Flexibility4. Work from Home," Mar 2, 2018",5.0
22,"The culture! Senior Health Plan leadership (primarily CFO and finance VP's) is very robotic - they lack basic human compassion and emotion. They are more bottom line driven than most for-profit companies. The Health Plan CFO has a complete lack of concern for the finance team. The Health Plan CFO will not hesitate to humiliate you in a meeting if any deliverables deviate from his ever-changing expectations and micro-management. Overall, a very hostile work environmentThe physical plant is awful - most floors (especially the finance floor) hasn't been touched since 1988. The cafeteria is also outrageously expensive.",Base compensation was good - bonuses % are low compared to industry norm," Apr 1, 2018",1.0
23,"NO work life balance. There is nothing good to say about this place. All management cares about is work and will call you at odd hours to get things done, no respect for personal lives",None this place is horrible," Mar 23, 2018",1.0
24,Compensation has changed for the worse and raises are not competitive. Company focus toward employees has reduced job satisfaction significantly in the past 6+ years.,"Decent benefit package, weekends off, nice co-workers"," Mar 2, 2018",2.0
25,Compensation is among the lowest in the industry.,Location in the city is convenient.," Feb 28, 2018",2.0
26,Slow to react to change neededSomewhat stuck on older technologyNeed to solidify software development planning,"Many good people to work withPay is competitiveOpportunity to work on many different platformsOpen to changes, but slow to react"," Feb 7, 2018",3.0
27,"Pure chaos. People in the know in the Pittsburgh health scene advise, leave the company; it is doomed to go under. More consultants that fly in and out of town every week + expenses than Pittsburgh people. —throwing health care dollars away instead of lowering prices for the customer.",Health clinic onsite ; Close to Starbucks," Mar 10, 2018",1.0
28,"Speaking of heath/well-being, it's quite ironic that working in health insurance is when you can surely expect to suffer the most physical and mental anguish of your life (if you're in the wrong department, I cannot speak for everywhere.) I cannot even begin to put my misery into real words. I used to cry almost everyday after working as hard as I could all day because of the amount of tension and stress in the office. I am at a new job now, also in a big corporate setting, but it's light-years better. I often feel like I just got out of an abusive relationship and I am still adjusting to normalcy. I could list endless examples but I would just say to take my word for it and the other negative reviews too. ALL OF THE GOOD REVIEWS ON HERE LOOK FAKE OR SEEM TO BE COMING FROM THE FEW AREAS THAT AREN'T AS MISERABLE.","If you're in a super-specialized position/department, perhaps your life won't be as miserable as ours was. I can't even really name any pros that outweigh the cons, it's just not worth it. I guess some of the big savings and clout that come with large corp. settings may be kind of alluring to some, but again, not worth your mental well-being."," Mar 7, 2018",1.0
29,At times very boring work,Great people and opportunities to grow," Jan 30, 2018",5.0
30,Changes within the company lead to a different focus and less employee value.,At one time it was a great place to work. Long-term employees and buy in from leadership toward HR's value as a strategic partner.," Jan 24, 2018",3.0
31,"- There are locations in India, and a lot of the jobs are being sent there, which means ""positions are being eliminated here. Please google this, and you will see this is true- Terrible corporate culture - everyone walks around scared they're going to lose their job- Work hours - you're told it's a 40 hour position. That's a lie. They want you to put in extra hours, and not just a few here and there. Expect to work 50-60 a week sometimes- They will lowball you an offer, so do not accept the first one if you want to work here. They have a bracket which gives a scale on the pay. You should go for at least the middle. If you do not they company will strickly tell you when you get an internal promotion that they can only go up to a 7 percent raise, or the minimum of the grade in which you took the new position. This is untrue. If HR tells you this, ask to speak to the hiring manager. The hiring manager has the final say","Benefits are great. Decently priced health insurance, company 401 is comparable to other companies. They match up to 3% and then they match 1/2 a percent on the next two percent. You can move up relatively quickly, but it's all a game on ""who you know."" Make sure to be friends with management, or you will sit in your current position."," Jan 24, 2018",2.0
32,-very bureaucratic at times-sometimes there are steps backwards like with any place,-employees I worked with were fun-no problems in the office-like all jobs there was a lot of work or less," Jan 22, 2018",3.0
33,"Amazing lack of oversight and governance. Knowledge throughout the organization is fractured and poorly dispersed. Managers at directors level and above are out of touch with reality and ultimately overpaid charlatans lacking innovation, strategy or direction. The company benefits immensely by the inelastic demand for health care and the nonprofit structure of its insurance business. Prior to starting with Highmark, I had a negative image of healthcare insurers and sadly, the negativity of my image has only worsened. The bloat in this company is intense and too often the operational aspects of the business screams excess and wasteful. It continues to astonish me how a company such as this, one that is simply a middle man between patients and actual providers of healthcare, can gouge so many while offering no true or necessary product. Their existence is predicated on their ability to draw pricing power to lower cost, yet in reality, the greatest pricing power would be that of the largest possible pool of insurable people (ie the entire nation or a single payer).","WFH, On-site gym, good co-workers"," Feb 9, 2018",1.0
34,In my experience there is a lot of off hours work in IT.,I like the location of the offices.," Jan 8, 2018",3.0
35,"staff are no longer the most valuable asset, benefits reduced, consultant company mentality","good medical benefits, large company"," Dec 22, 2017",3.0
36,"Oh where to start- Incompetent and dissilusioned senior management. TOO many managers and project managers, not one of which is interested in HOW things get done, just that they magically GET done on unrealistic timelines. Highmark will not off you a future, in the past five years they have laid off thousa ds, ended pensions, reduced 401k matching, and outsource as much as they can to India. They proclaim ""trust working together"" as a top idealology, which is a joke as you can't trust most anyone in charge. If you work in Camp Hill, keep a wary eye, in 5 more years it is unlikely that you will still be there as they are surreptitiously moving everything to Pittsburgh.",Average pay. Great co-workers.," Jan 11, 2018",1.0
37,"Work load was ridiculous and no where near enough help or information to do your job correctly/accurately, workload is always backed up. At the end of the day, I felt 0 sense of accomplishment because it was damn near impossible to get anything done and be effective/efficient without the right answers/help/people above you to help you. And then you come in again and do it again the next day. Whatever 'it' is.","'comfy' job, you can dress casually and comfortably, munch at your desk, pay wasn't bad ($15.45/hr), the supervisors were easy to talk to, great benefits and perks, free on site gym for employees, private employee cafeteria"," Nov 20, 2017",3.0
38,Frequent turnover. Poor management from the top. Individual units know better than upper management. Ongoing issue.,Great team with the experienced care managers.," Dec 1, 2017",3.0
39,Lack of thorough training. Lots of favoritism Aspects of racism promotions based on everything but skill commitment to the company years of experience Too much focus on numbers numbers numbers. You better make the grade or you are fired,Good work life balance. Nice cafeteria and gym. Decent pay. Decent benefits and other savings plans for your future nice to have weekends and many holidays off," Nov 20, 2017",2.0
40,"Highly political, 6-8 hrs of meetings per day, too much time spent on PowerPoint presentations, charts, updates and business review documents.Little time available to actually get things done.HR has too much input into non-HR related business issues.Many process' impede progress.",Nice benefits and some very nice people. Nice employee cafeteria and gym onsite. Nice location in downtown Pittsburgh," Nov 28, 2017",1.0
41,Changing industry makes it hard to find consistencySiloed departments make it hard to accomplish big objectives (and results in different cultures - one department could be amazing to work in and another could be a nightmare),"Great employee benefits - gym, insurance, business groupsFriendly people - mostly pleasant people"," Oct 17, 2017",3.0
42,Stressful at times. More work than the staff can manage in a normal day. Difficult to balance work and home due volume of work and heightened service demands.,"Challenging work, great opportunities to learn and do something different each day. Coworkers are welcoming, open to share knowledge and help each other to be successful. Flexible schedules for salaried employees."," Oct 13, 2017",5.0
43,"- Constant micromanagement for customer service- Increased workload due to attrition without increase in pay- Unreasonable production/average call time standards (focus should be on quality standards of calls only, due to complicated material and high quality standards)- Frequent health insurance changes in day to day procedures, rules, etc. with little to no training- Disorganized methods of communicating those changes and not enough time to review them- Cultural and system changes that are negative for advocates- Customers are often very angry, emotional or difficult due to complexities and changes in health insurance",- Pay- Benefits- Charitable company within communities," Oct 27, 2017",2.0
44,"In the last 3 to 4 years management became extremely demanding, Stressful place to work trying to meet tight deadlines. Prepare to work evenings and weekends without any compensation,","I worked at Highmark for 17 years with a generous salary and benefits. The first 14 years Highmark was a great place to work,"," Sep 27, 2017",3.0
45,None I can think of.,Great work environment and benefits," Oct 17, 2017",5.0
46,"Upper management, expectations, underrate your value and they have roaches which is just nasty","Gym, flex schedule so most can start as early as 5a.m. and location"," Oct 11, 2017",2.0
47,"Bureaucratic approach to everything, overly formal.",Challenging assignments and professional growth.," Sep 25, 2017",3.0
48,Depending on department not enough staff,Depending on department able to work from home," Sep 21, 2017",3.0
49,"Unrealistic expectations from management, no support, minimal to no guidance and/or training. Jobs are being sent outside the country to save money and then when there are problems with systems, staff based in PA are expected to figure it all out. You are basically expected to work 24X7 and there are no exceptions.Also, seeing co-workers have anxiety attacks, heart attacks and even die at their desk with no sympathy from management is down right frightening.",There are no longer any pros to working for Highmark.," Oct 2, 2017",1.0
50,"Position was not what was promised. Tendency to treat professionals as children. Far too much frequent change. Most importantly, a lack of understanding by Sr. Leadership regarding daily operations.",Co-workers were great people but none were happy.," Sep 29, 2017",1.0
51,work at home preferred parking $10per day,nice professional atmosphere work place," Aug 28, 2017",3.0
52,"large company, slow to change, but getting better; lack of loyalty at time.","good benefits and compensation, some career progression"," Aug 27, 2017",4.0
53,No work/life balance. Gym at work but never a minute to use it. Processes are constantly changing and becoming more cumbersome. Spend so much time doing administrative work there isn't enough time to do your real job as an analyst. Required to work 45 hours a week but most people are working closer to 50-55 hours and still can't meet the project deadlines that are set by people who have no clue what is involved in implementing a project. I have been at highmark almost 30 years and the last 6-7 years have been so bad that I think about quitting every day. I'm just hanging on for 3 years to retire. Employees are not appreciated by upper management.,"Gym, store, nice cafeteria, clean"," Sep 20, 2017",1.0
