,negReviews,posReview,review_date,review_rating
0,Nothing is to complain about I loved it,"Incredible work experience, innovative and warming culture. Great place to intern"," Sep 19, 2018",5.0
1,"Brand on Your Resume: After many years of losing market share and struggling to be at the front end of innovation and the fact that there's 90,000 employees, don't think MSFT is necessarily going to be attractive on your resume to more agile and smaller companies.Managing Your Career: Make you say this out loud so it registers - 90,000 employees work there. Double that for vendors. It is VERY hard to ""stand out"" and move up in the company. Don't expect your manager to be much of an advocate or enabler to help you meet your career goals - they are basically trying to survive the stack rank every year too. Not familiar with the stack rank? Check out the 2012 Vanity Fair article called ""Microsoft's Lost Decade"".","1. If you love tech, this is a great place. No doubt you'll talk tech (mostly the MSFT stack) from enterprise to consumer - from PCs to phones to Xboxes - from datacenter to desktop.2. What were GREAT benefits are now VERY GOOD (took a small step down) but still probably better than you'll find at 99% of large corporations. If you've got family - the value of the benefits is even higher. 401k match is nice.3. Even with it's struggles MSFT is still a cash printing machine. This means if you can keep your nose clean and do reasonable work, you can have a stable job, pay your bills, feed your family, and not worry (too much) about layoffs. The stock you own likely won't tank, but probably won't go up much either. You'll get a bonus each year and some stock. It's a decent life if you aren't looking to light the world on fire."," Jan 28, 2013",4.0
2,None I can think of right now.,1. Work-life balance2. Talented co-workers3. Company in the right direction," Sep 16, 2018",5.0
3,No cons really as you have to work a lot and then you get much out of it else work for a less ambitious company,Professional and highly skilled colleagues and a really good work climate," Sep 16, 2018",5.0
4,"Large company, lots of politics","Pay, benefits, people, company direction"," Sep 17, 2018",5.0
5,Career Path for bigger Jobs.,Benefits and Work Flexibility on how to accomplish goals," Sep 18, 2018",5.0
6,Very functional orgs which discourages taking an end to end perspective on the business and the company,"Flexible career growth paths, you control your destiny, meaningful work, great work-life balance"," Sep 18, 2018",5.0
7,"Still a ways to go on collaboration. When reorgs happen, people still bring along select people from old teams vs trusting new people.","Lots of resources for the right projects. Can be cutthroat to get funded, but more resources than most companies. Strong push for more collaboration."," Sep 11, 2018",5.0
8,"office politics, usual stuff in big companies","Good life balance, good pay"," Sep 17, 2018",5.0
9,"Non. Basically, it is like a faculty position in a university with higher salary",Work-life-balance and great freedom in researching," Sep 14, 2018",5.0
10,Lots of pressure to overachieve,Get to learn a lot of cool technology," Sep 11, 2018",5.0
11,not any worth to be mentioned,Great place to work in," Sep 11, 2018",5.0
12,"Some big company red tape, but expected","Amazing company, amazing culture."," Sep 12, 2018",5.0
13,"Pay is low, low benefit, no free food, need to do full loop of interview to change team",Life balance is good. In 3 years was able to work 40h every week. People are great. Campus is awesome. Lots of projects," Sep 6, 2018",5.0
14,Some bad stuff. No free food.,Amazing. Managers were really great.," Sep 10, 2018",5.0
15,Rams inclusiveness down your throat and sets strange diversity goals that are not based on merit.,"Be yourself, encouraged to do your best, great opportunities for growth and development, great benefits and a great corporate citizen."," Aug 27, 2018",5.0
16,- Pay is less as compared to other tech companies,- Good worklife balance- All kinds of opportunities and role available," Sep 9, 2018",5.0
17,- Unreasonable expectations at times,"- Amazing engineers working with me, among the best engineers I've ever worked with- Challenging and interesting project"," Sep 6, 2018",5.0
18,Not any cons to think of,Excellent Place to work and start your career. Great mentors and Great team," Sep 6, 2018",5.0
19,Need a lot of dedication,"Nice worker, a good place to learn a lot"," Sep 7, 2018",5.0
20,"You are expected to deliver results. This is not a con, really, but you cannot ride your past successes. Deliver results and get rewarded.","Excellent flexibility, direct contact with the Product Groups. You get to work with customers and share success. Tons of opportunity for learning. I love this job because I get to stay technical but also work with our innovative customers.Also, benefits are really good. 401K match is terrific. Time off. Work / life balance. Salary and benefits are really great for the TSP as well (you get both RBI and CBI, which is outstanding). Stock awards too. You have lots of opportunity to be very well compensated if you deliver results."," Sep 4, 2018",5.0
21,inflexible deadlines andtedious SQL query writing,"mission oriented, open to new ideas within limits, friendly"," Sep 5, 2018",5.0
22,"As a big company, it's hard to get recognized and stand out.","The benefits are some of the best out there. Moreover, the stock has been steadily going up."," Sep 1, 2018",5.0
23,"Terrible internal politics, more resistance internally with Microsoft-own internal teams than externally with customers","Travel a lot, working with many different industries across various industries"," Sep 13, 2018",4.0
24,Not much room to grow and move up.,An Interesting and changing environment," Sep 19, 2018",3.0
