,negReviews,posReview,review_date,review_rating
0,Very large and easy to get lost in if you are just starting out,Great colleaguesA lot of internal material and personal resources to draw on for new projectsExposure to a wide variety of projects and companies," Aug 8, 2018",5.0
1,"OK, I'm going to be discussing all the taboo things, and there are a lot of them. In spite of these cons, I still admit it's worth a five star rating.1. High performers are ""designated"" (you have very little control over your rating) by the partner group (can be a pro if you get selected. Seriously, I have worked with some of the supposed ""fives"" and they are not any different than my threes and fours.2. Quality is extremely low. Sometimes I felt like I was working at McDonalds and not a professional services firm. The emphasis is on getting through work as fast as possible and expectations for quality are not realistic.3. EY has a very hard time firing bad employees. If you get stuck with one it can be a nightmare.4. EY has a heavy emphasis on wasting time. For example, there are lots and lots of checklists which have no value that you have to fill out. Also, they wasted money and time on creating ""Canvas"" which is literally slower and more awkward than the previous workspace tool, GAMX. There is a heavy emphasis on ""reinventing the wheel"" and fixing problems that aren't broken with even worse solutions. Instead of wasting money on useless tools, that money could have been spent on your employees in the form of compensation. Like I said, EY is really focused on attempting to look as though value is being created when in fact it is not.5. Lots of meetings. Appearances are very important.6. Employees on global 360 accounts get better treatment.7. Some employees (executives mostly) tend to overemphasize how important this work is. Let's face it, if it was really glorious work then we would have action figures.8. Looks are very important. Seriously, if you are a girl, you will get promoted based on how hot you are (the quality of your work is largely unimportant). If you are a guy, you are treated a little better but there is still a sexist undercurrent in the environment. This is advice you won't get from HR obviously, but that doesn't mean it isn't true.8. You will be forced to eat hours.9. Your ethical compass will start to get weaker.10. You will get a little cynical.11. Lots of driving and travel.12. ""Family men"" and married couples with children are more likely to be promoted. If you want to be a partner, you have to be married (few exceptions).13. You will work on vacations.14. Loss of relationships with family and friends.15. Some backstabbing and credit-stealing (but not very common).16. Comp is below market but that's to be expected.17. Employee retention is not something management is interested in. This makes you replaceable and expendable (yes even as a manager, unless you have been ""designated"" as a high performer by the partner group).","1. You will have a very hard time not falling in love with every single person you meet there.2. Seriously, you will meet your soul mate(s) there.3. Prestigious and looks great on the resume.4. Your brain will grow a thousand times more powerful.5. Forces you to conquer your fear of public speaking.6. Fun team bonding and lifelong friends.7. Stepping stone to high paying jobs.8. Helps you work on perfecting your charm. You will learn from the most charming people how to really get people to like you.9. HR really cares.10. Big support network (IT, creative services, etc.).11. Teaches you to be calm and in control."," Feb 21, 2018",5.0
2,the team is not very cohesive,global exposure to large clients," Sep 18, 2018",5.0
3,"Occasionally people put in too many hours, and could probably do the same amount of work in less time, but want to look better I suppose.","Great people to work with. By and large, most are intelligent, switched on, and want to do good work."," Sep 19, 2018",5.0
4,The training process can be more intense.,like the title. Employees here are friendly and helpful. They are active. They know how to work hard and play hard.," Sep 18, 2018",4.0
5,-Easy to get stuck on regulatory/boring projects,-You meet a lot of people working at EY-Career is what you make it (really need to network within the firm)-Pretty good vacation & benefits-Most projects let you work remote sometimes-Points from travelling!," Sep 19, 2018",4.0
6,Travel and long hours of work,Pay and travel perks are great!," Sep 18, 2018",5.0
7,Not the best pay for consulting,Great benefits and team members that want to help you grow professionally.," Sep 17, 2018",4.0
8,Sometimes some employees can be not responsible.,It has great life work balance benefits.," Sep 18, 2018",4.0
9,"Depending on which department you work in, there can be a lot of travel but with flexible arrangements, the challenges of travel can be addressed.","EY is known for being a demanding workplace but if you want to be in a professional services company, EY has great flexibility arrangements whether formal or informal. It has many programs in place to meet your personal needs. I highly recommend it to those who want a career in the Big Four."," Sep 18, 2018",4.0
10,Ambiguous internal transfer process makes for confusing path for learning,Professional network. Strong brand name," Sep 17, 2018",4.0
11,"Work isn’t always interesting, lack of discipline in developing new business lines, and the people aren’t quite as sharp all along the chain","The culture, the work/life balance and the people"," Sep 14, 2018",4.0
12,Work can fluctuate drastically depending on demand and financial regulatory environment,Great exposure to financial services industry while still gaining the relevant skill set of a consultant.," Sep 14, 2018",4.0
